annual_inc,home_ownership,int_rate
62000,RENT,.1153
51000,MORTGAGE,.1561
45000,RENT,.1099
84000,MORTGAGE,.0818
107000,MORTGAGE,.2199
80000,RENT,.0789
27000,RENT,.1757
36000,RENT,.1786
50000,MORTGAGE,.1153
75000,MORTGAGE,.1855
39000,RENT,.2099
70000,RENT,.1099
150000,MORTGAGE,.1786
17500,RENT,.1825
43000,RENT,.2099
90000,MORTGAGE,.1999
52000,OWN,.0789
127000,RENT,.1699
44000,MORTGAGE,.1919
113000,MORTGAGE,.1229
25000,MORTGAGE,.1229
28000,MORTGAGE,.2199
120000,MORTGAGE,.1699
106000,MORTGAGE,.1269
43900,MORTGAGE,.1561
51563,RENT,.1786
48500,RENT,.1999
45000,RENT,.0789
80000,MORTGAGE,.1269
112750,MORTGAGE,.1399
61000,MORTGAGE,.1757
77000,RENT,.1919
62000,MORTGAGE,.1919
34236.8,RENT,.1561
70000,RENT,.1757
45000,RENT,.1333
106000,MORTGAGE,.1229
35000,OWN,.1999
57450,MORTGAGE,.1269
67000,MORTGAGE,.0789
80000,OWN,.0789
97000,RENT,.0917
94500,RENT,.2099
36000,RENT,.1465
110000,MORTGAGE,.2578
27900,RENT,.0624
55000,RENT,.1399
105000,MORTGAGE,.1229
40000,OWN,.1229
50000,RENT,.1561
73000,MORTGAGE,.0789
46500,RENT,.1561
30000,RENT,.1655
75000,RENT,.0532
80000,RENT,.1333
104000,MORTGAGE,.1333
117676.08,MORTGAGE,.0999
66000,RENT,.1153
400000,RENT,.0917
74115,MORTGAGE,.1099
78000,MORTGAGE,.2199
110000,MORTGAGE,.1786
50000,OWN,.1269
165500,MORTGAGE,.1919
74000,RENT,.0818
41000,RENT,.1333
75920,MORTGAGE,.1699
53000,MORTGAGE,.0818
53000,RENT,.1399
144000,MORTGAGE,.0726
37000,RENT,.1333
40000,RENT,.0818
89500,RENT,.0917
42800,RENT,.1399
51000,MORTGAGE,.1229
55000,MORTGAGE,.1399
77250,MORTGAGE,.1399
80000,MORTGAGE,.1399
42000,OWN,.1786
61000,MORTGAGE,.1099
32300,OWN,.1465
50000,RENT,.1561
49000,RENT,.0818
65000,RENT,.1269
42250,MORTGAGE,.1825
78000,MORTGAGE,.0999
85000,RENT,.1825
105000,MORTGAGE,.1465
66255,MORTGAGE,.2099
56000,RENT,.0689
80000,MORTGAGE,.0917
31000,RENT,.1333
36000,RENT,.1333
135000,MORTGAGE,.1399
35000,RENT,.0818
65000,OWN,.0917
90000,RENT,.1153
31000,RENT,.1561
