,Amount.Requested,Amount.Funded.By.Investors,Interest.Rate,Loan.Length,Loan.Purpose,Debt.To.Income.Ratio,State,Home.Ownership,Monthly.Income,FICO.Range,Open.CREDIT.Lines,Revolving.CREDIT.Balance,Inquiries.in.the.Last.6.Months,Employment.Length,FICO.Score
81174,20000,20000.0,0.08900000000000001,36,debt_consolidation,14.90%,SC,MORTGAGE,6541.67,735-739,14.0,14272.0,2.0,< 1 year,735
99592,19200,19200.0,0.12119999999999999,36,debt_consolidation,28.36%,TX,MORTGAGE,4583.33,715-719,12.0,11140.0,1.0,2 years,715
80059,35000,35000.0,0.2198,60,debt_consolidation,23.81%,CA,MORTGAGE,11500.0,690-694,14.0,21977.0,1.0,2 years,690
15825,10000,9975.0,0.0999,36,debt_consolidation,14.30%,KS,MORTGAGE,3833.33,695-699,10.0,9346.0,0.0,5 years,695
33182,12000,12000.0,0.11710000000000001,36,credit_card,18.78%,NJ,RENT,3195.0,695-699,11.0,14469.0,0.0,9 years,695
62403,6000,6000.0,0.1531,36,other,20.05%,CT,OWN,4891.67,670-674,17.0,10391.0,2.0,3 years,670
48808,10000,10000.0,0.079,36,debt_consolidation,26.09%,MA,RENT,2916.67,720-724,10.0,15957.0,0.0,10+ years,720
22090,33500,33450.0,0.1714,60,credit_card,14.70%,LA,MORTGAGE,13863.42,705-709,12.0,27874.0,0.0,10+ years,705
76404,14675,14675.0,0.1433,36,credit_card,26.92%,CA,RENT,3150.0,685-689,9.0,7246.0,1.0,8 years,685
15867,7000,7000.0,0.0691,36,credit_card,7.10%,CA,RENT,5000.0,715-719,8.0,7612.0,0.0,3 years,715
94971,2000,2000.0,0.1972,36,moving,10.29%,FL,RENT,3575.0,670-674,10.0,12036.0,0.0,6 years,670
36911,10625,10625.0,0.1427,36,debt_consolidation,12.54%,CA,MORTGAGE,4250.0,665-669,14.0,10767.0,0.0,< 1 year,665
41200,28000,27975.0,0.2167,60,debt_consolidation,13.07%,CT,MORTGAGE,14166.67,670-674,12.0,10311.0,0.0,1 year,670
83869,35000,34950.0,0.08900000000000001,36,debt_consolidation,20.46%,CT,RENT,9166.67,735-739,19.0,21536.0,0.0,1 year,735
53853,9600,9600.0,0.0762,36,debt_consolidation,3.45%,DC,RENT,11250.0,725-729,13.0,4606.0,0.0,< 1 year,725
21399,25000,24975.0,0.1565,60,debt_consolidation,21.99%,CA,RENT,5416.67,730-734,6.0,13929.0,0.0,9 years,730
62127,10000,10000.0,0.12119999999999999,36,debt_consolidation,17.72%,CA,RENT,9000.0,695-699,18.0,20317.0,0.0,7 years,695
23446,14000,13900.25,0.10369999999999999,60,debt_consolidation,11.95%,OH,RENT,4333.33,740-744,6.0,7419.0,0.0,9 years,740
44987,10000,10000.0,0.09759999999999999,36,credit_card,7.13%,FL,RENT,2733.33,730-734,7.0,6112.0,2.0,3 years,730
17977,5200,5175.0,0.0999,60,debt_consolidation,10.29%,AL,MORTGAGE,3750.0,760-764,10.0,16094.0,0.0,< 1 year,760
86099,22000,21975.0,0.2198,36,debt_consolidation,11.19%,TX,MORTGAGE,6666.67,665-669,9.0,23124.0,0.0,10+ years,665
99483,30000,30000.0,0.1905,60,credit_card,21.25%,FL,MORTGAGE,6250.0,695-699,12.0,34927.0,0.0,6 years,695
28798,6500,6500.0,0.17989999999999998,60,car,19.63%,FL,RENT,4100.0,665-669,11.0,11697.0,1.0,2 years,665
24168,17400,17400.0,0.1199,36,credit_card,12.47%,AZ,RENT,6833.33,695-699,7.0,26587.0,0.0,7 years,695
10356,4000,4000.0,0.16820000000000002,60,vacation,13.71%,GA,MORTGAGE,4500.0,670-674,5.0,20804.0,0.0,3 years,670
46027,7200,7200.0,0.079,36,debt_consolidation,24.82%,TX,RENT,5416.67,705-709,8.0,12017.0,0.0,7 years,705
2238,8000,8000.0,0.1442,36,debt_consolidation,24.63%,MA,RENT,2964.17,675-679,9.0,8928.0,2.0,6 years,675
65278,8000,8000.0,0.1531,36,debt_consolidation,15.46%,CA,MORTGAGE,2916.67,675-679,13.0,7152.0,1.0,5 years,675
4227,3000,3000.0,0.0859,36,other,3.72%,MA,MORTGAGE,4167.0,765-769,4.0,7074.0,0.0,5 years,765
50182,14500,14500.0,0.079,36,debt_consolidation,4.85%,GA,MORTGAGE,3958.33,760-764,4.0,9598.0,0.0,4 years,760
87023,23850,23850.0,0.21,60,debt_consolidation,28.81%,LA,MORTGAGE,5833.33,685-689,19.0,25968.0,3.0,9 years,685
46120,14000,14000.0,0.12119999999999999,36,debt_consolidation,14.93%,CA,MORTGAGE,10583.33,685-689,9.0,35457.0,0.0,2 years,685
30756,35000,34975.0,0.1649,60,debt_consolidation,7.45%,GA,MORTGAGE,10416.67,720-724,7.0,31414.0,0.0,8 years,720
94582,16000,16000.0,0.158,60,car,11.94%,WV,RENT,5250.0,685-689,14.0,154.0,1.0,3 years,685
457,17350,7019.25,0.1355,36,debt_consolidation,18.52%,NH,OWN,3666.67,675-679,8.0,18966.0,2.0,6 years,675
96536,8000,7975.0,0.079,36,car,29.62%,AL,MORTGAGE,5583.33,780-784,9.0,6065.0,1.0,10+ years,780
39591,7200,7200.0,0.079,36,debt_consolidation,7.98%,GA,RENT,5666.67,720-724,5.0,8783.0,0.0,3 years,720
78862,20125,20125.0,0.0762,36,home_improvement,4.29%,VA,MORTGAGE,3750.0,830-834,13.0,73952.0,0.0,1 year,830
54619,12000,11875.0,0.08900000000000001,36,debt_consolidation,12.06%,NY,RENT,5000.0,715-719,11.0,14717.0,0.0,4 years,715
101798,2400,1850.0,0.1249,36,home_improvement,20.56%,MD,MORTGAGE,3448.33,660-664,10.0,18749.0,5.0,< 1 year,660
98029,3200,3200.0,0.1727,36,home_improvement,8.36%,HI,MORTGAGE,2500.0,670-674,7.0,6619.0,1.0,3 years,670
95579,12725,12725.0,0.1114,36,debt_consolidation,22.15%,TX,RENT,4416.67,720-724,23.0,4079.0,0.0,3 years,720
4868,5500,5500.0,0.1913,36,credit_card,3.58%,DC,RENT,12000.0,660-664,2.0,0.0,1.0,8 years,660
26822,15650,15650.0,0.21739999999999998,36,house,13.86%,MD,RENT,3700.0,660-664,5.0,10605.0,1.0,4 years,660
98445,9000,9000.0,0.1727,36,credit_card,25.22%,CA,RENT,5166.67,675-679,14.0,5852.0,1.0,10+ years,675
14958,5000,5000.0,0.1186,36,major_purchase,4%,TX,RENT,5577.0,715-719,3.0,1069.0,0.0,1 year,715
14754,3000,3000.0,0.1038,36,debt_consolidation,15.21%,PA,RENT,3083.33,710-714,11.0,3098.0,0.0,2 years,710
34501,20000,19975.0,0.2391,60,debt_consolidation,9.47%,CA,MORTGAGE,11250.0,670-674,5.0,11168.0,0.0,< 1 year,670
26888,5450,5450.0,0.07490000000000001,60,other,2.48%,WA,MORTGAGE,4600.0,785-789,14.0,4326.0,0.0,10+ years,785
81759,14000,14000.0,0.12119999999999999,36,debt_consolidation,11.38%,NY,MORTGAGE,4500.0,705-709,22.0,18583.0,0.0,5 years,705
10825,8800,8799.04,0.1038,60,credit_card,21.59%,IL,RENT,3750.0,750-754,11.0,18694.0,1.0,2 years,750
