Amount.Requested,Amount.Requested,Amount.Funded.By.Investors,Loan.Length,Loan.Purpose,Debt.To.Income.Ratio,State,Home.Ownership,Monthly.Income,FICO.Range,Open.CREDIT.Lines,Revolving.CREDIT.Balance,Inquiries.in.the.Last.6.Months,Employment.Length,FICO.Score,Interest.Rate
81174,20000,20000,36,debt_consolidation,14.90%,SC,MORTGAGE,6541.67,735-739,14,14272,2,< 1 year,735,0.089
99592,19200,19200,36,debt_consolidation,28.36%,TX,MORTGAGE,4583.33,715-719,12,11140,1,2 years,715,0.1212
80059,35000,35000,60,debt_consolidation,23.81%,CA,MORTGAGE,11500,690-694,14,21977,1,2 years,690,0.2198
15825,10000,9975,36,debt_consolidation,14.30%,KS,MORTGAGE,3833.33,695-699,10,9346,0,5 years,695,0.0999
33182,12000,12000,36,credit_card,18.78%,NJ,RENT,3195,695-699,11,14469,0,9 years,695,0.1171
62403,6000,6000,36,other,20.05%,CT,OWN,4891.67,670-674,17,10391,2,3 years,670,0.1531
48808,10000,10000,36,debt_consolidation,26.09%,MA,RENT,2916.67,720-724,10,15957,0,10+ years,720,0.079
22090,33500,33450,60,credit_card,14.70%,LA,MORTGAGE,13863.42,705-709,12,27874,0,10+ years,705,0.1714
76404,14675,14675,36,credit_card,26.92%,CA,RENT,3150,685-689,9,7246,1,8 years,685,0.1433
15867,7000,7000,36,credit_card,7.10%,CA,RENT,5000,715-719,8,7612,0,3 years,715,0.0691
94971,2000,2000,36,moving,10.29%,FL,RENT,3575,670-674,10,12036,0,6 years,670,0.1972
36911,10625,10625,36,debt_consolidation,12.54%,CA,MORTGAGE,4250,665-669,14,10767,0,< 1 year,665,0.1427
41200,28000,27975,60,debt_consolidation,13.07%,CT,MORTGAGE,14166.67,670-674,12,10311,0,1 year,670,0.2167
83869,35000,34950,36,debt_consolidation,20.46%,CT,RENT,9166.67,735-739,19,21536,0,1 year,735,0.089
53853,9600,9600,36,debt_consolidation,3.45%,DC,RENT,11250,725-729,13,4606,0,< 1 year,725,0.0762
21399,25000,24975,60,debt_consolidation,21.99%,CA,RENT,5416.67,730-734,6,13929,0,9 years,730,0.1565
62127,10000,10000,36,debt_consolidation,17.72%,CA,RENT,9000,695-699,18,20317,0,7 years,695,0.1212
23446,14000,13900.25,60,debt_consolidation,11.95%,OH,RENT,4333.33,740-744,6,7419,0,9 years,740,0.1037
44987,10000,10000,36,credit_card,7.13%,FL,RENT,2733.33,730-734,7,6112,2,3 years,730,0.0976
17977,5200,5175,60,debt_consolidation,10.29%,AL,MORTGAGE,3750,760-764,10,16094,0,< 1 year,760,0.0999
86099,22000,21975,36,debt_consolidation,11.19%,TX,MORTGAGE,6666.67,665-669,9,23124,0,10+ years,665,0.2198
99483,30000,30000,60,credit_card,21.25%,FL,MORTGAGE,6250,695-699,12,34927,0,6 years,695,0.1905
28798,6500,6500,60,car,19.63%,FL,RENT,4100,665-669,11,11697,1,2 years,665,0.1799
24168,17400,17400,36,credit_card,12.47%,AZ,RENT,6833.33,695-699,7,26587,0,7 years,695,0.1199
10356,4000,4000,60,vacation,13.71%,GA,MORTGAGE,4500,670-674,5,20804,0,3 years,670,0.1682
46027,7200,7200,36,debt_consolidation,24.82%,TX,RENT,5416.67,705-709,8,12017,0,7 years,705,0.079
2238,8000,8000,36,debt_consolidation,24.63%,MA,RENT,2964.17,675-679,9,8928,2,6 years,675,0.1442
65278,8000,8000,36,debt_consolidation,15.46%,CA,MORTGAGE,2916.67,675-679,13,7152,1,5 years,675,0.1531
4227,3000,3000,36,other,3.72%,MA,MORTGAGE,4167,765-769,4,7074,0,5 years,765,0.0859
50182,14500,14500,36,debt_consolidation,4.85%,GA,MORTGAGE,3958.33,760-764,4,9598,0,4 years,760,0.079
87023,23850,23850,60,debt_consolidation,28.81%,LA,MORTGAGE,5833.33,685-689,19,25968,3,9 years,685,0.21
46120,14000,14000,36,debt_consolidation,14.93%,CA,MORTGAGE,10583.33,685-689,9,35457,0,2 years,685,0.1212
30756,35000,34975,60,debt_consolidation,7.45%,GA,MORTGAGE,10416.67,720-724,7,31414,0,8 years,720,0.1649
94582,16000,16000,60,car,11.94%,WV,RENT,5250,685-689,14,154,1,3 years,685,0.158
457,17350,7019.25,36,debt_consolidation,18.52%,NH,OWN,3666.67,675-679,8,18966,2,6 years,675,0.1355
96536,8000,7975,36,car,29.62%,AL,MORTGAGE,5583.33,780-784,9,6065,1,10+ years,780,0.079
39591,7200,7200,36,debt_consolidation,7.98%,GA,RENT,5666.67,720-724,5,8783,0,3 years,720,0.079
78862,20125,20125,36,home_improvement,4.29%,VA,MORTGAGE,3750,830-834,13,73952,0,1 year,830,0.0762
54619,12000,11875,36,debt_consolidation,12.06%,NY,RENT,5000,715-719,11,14717,0,4 years,715,0.089
101798,2400,1850,36,home_improvement,20.56%,MD,MORTGAGE,3448.33,660-664,10,18749,5,< 1 year,660,0.1249
98029,3200,3200,36,home_improvement,8.36%,HI,MORTGAGE,2500,670-674,7,6619,1,3 years,670,0.1727
95579,12725,12725,36,debt_consolidation,22.15%,TX,RENT,4416.67,720-724,23,4079,0,3 years,720,0.1114
4868,5500,5500,36,credit_card,3.58%,DC,RENT,12000,660-664,2,0,1,8 years,660,0.1913
26822,15650,15650,36,house,13.86%,MD,RENT,3700,660-664,5,10605,1,4 years,660,0.2174
98445,9000,9000,36,credit_card,25.22%,CA,RENT,5166.67,675-679,14,5852,1,10+ years,675,0.1727
14958,5000,5000,36,major_purchase,4%,TX,RENT,5577,715-719,3,1069,0,1 year,715,0.1186
14754,3000,3000,36,debt_consolidation,15.21%,PA,RENT,3083.33,710-714,11,3098,0,2 years,710,0.1038
34501,20000,19975,60,debt_consolidation,9.47%,CA,MORTGAGE,11250,670-674,5,11168,0,< 1 year,670,0.2391
26888,5450,5450,60,other,2.48%,WA,MORTGAGE,4600,785-789,14,4326,0,10+ years,785,0.0749
81759,14000,14000,36,debt_consolidation,11.38%,NY,MORTGAGE,4500,705-709,22,18583,0,5 years,705,0.1212
10825,8800,8799.04,60,credit_card,21.59%,IL,RENT,3750,750-754,11,18694,1,2 years,750,0.1038
16667,3000,3000,36,other,15.79%,MD,RENT,7952,660-664,4,12578,0,8 years,660,0.1744
92046,32000,32000,60,debt_consolidation,15.61%,IL,RENT,9250,700-704,15,32566,1,2 years,700,0.1727
88279,22250,22250,60,debt_consolidation,28.87%,HI,RENT,4166.67,665-669,15,14107,0,9 years,665,0.2149
17218,7325,7300,60,debt_consolidation,20.37%,NY,OWN,3000,680-684,6,13583,0,5 years,680,0.178
82406,16450,16450,36,debt_consolidation,7.57%,NC,RENT,7500,725-729,5,2928,0,1 year,725,0.1114
17143,2500,2500,36,debt_consolidation,16.45%,WI,RENT,1100,670-674,6,5019,1,4 years,670,0.1298
