Logit.Interest.Rate,Intercept,Amount.Requested,FICO.Score,Loan.Length,Loan.Purpose,Debt.To.Income.Ratio,State,Home.Ownership,Monthly.Income,FICO.Range,Open.CREDIT.Lines,Revolving.CREDIT.Balance,Inquiries.in.the.Last.6.Months,Employment.Length
1,1,6000,640,36,debt_consolidation,10.23%,MD,RENT,6500,640-644,6,4103,0,1 year
1,1,8400,640,36,debt_consolidation,15.71%,MD,RENT,7083.33,640-644,7,14578,3,< 1 year
1,1,2200,640,36,credit_card,10.35%,NJ,RENT,3333.33,640-644,10,11606,1,3 years
1,1,3000,640,36,educational,2.38%,FL,OWN,588.5,640-644,4,469,0,8 years
1,1,5100,640,36,debt_consolidation,25.67%,NJ,RENT,3000,640-644,14,5004,6,< 1 year
1,1,7200,645,36,debt_consolidation,9.67%,CA,RENT,4500,645-649,7,6572,1,6 years
1,1,10000,645,36,credit_card,6.37%,FL,RENT,5416.67,645-649,4,2211,6,< 1 year
1,1,7675,645,36,other,18.08%,TX,MORTGAGE,11666.67,645-649,13,12578,0,9 years
1,1,7000,650,36,major_purchase,18.91%,CO,MORTGAGE,3833,650-654,13,12634,0,2 years
1,1,3500,655,36,medical,10.19%,IA,OTHER,3750,655-659,8,9771,4,10+ years
1,1,5600,655,36,other,20.60%,CA,RENT,6083.33,655-659,7,2166,2,2 years
1,1,3600,655,36,other,9.14%,OK,RENT,6290,655-659,7,3453,0,< 1 year
1,1,6250,655,36,debt_consolidation,19.85%,IN,RENT,2916.67,655-659,17,17659,9,< 1 year
1,1,2400,660,36,home_improvement,20.56%,MD,MORTGAGE,3448.33,660-664,10,18749,5,< 1 year
1,1,5500,660,36,credit_card,3.58%,DC,RENT,12000,660-664,2,0,1,8 years
1,1,15650,660,36,house,13.86%,MD,RENT,3700,660-664,5,10605,1,4 years
1,1,3000,660,36,other,15.79%,MD,RENT,7952,660-664,4,12578,0,8 years
1,1,5750,660,36,credit_card,12.44%,CA,RENT,5000,660-664,13,12465,0,10+ years
1,1,7500,660,36,debt_consolidation,13.34%,CA,RENT,4166.67,660-664,8,7430,0,< 1 year
1,1,18000,660,60,debt_consolidation,9.05%,WI,RENT,7083.33,660-664,6,13106,0,10+ years
1,1,3000,660,36,credit_card,16.62%,SC,RENT,3833.33,660-664,4,4136,0,n/a
1,1,15000,660,36,credit_card,9.73%,GA,MORTGAGE,5000,660-664,11,14596,0,8 years
1,1,7000,660,36,debt_consolidation,18.90%,AR,MORTGAGE,2000,660-664,10,7315,2,1 year
1,1,5500,660,60,debt_consolidation,17.71%,NY,RENT,1750,660-664,6,4492,6,2 years
1,1,7200,660,60,other,2%,NY,RENT,5500,660-664,13,2130,0,9 years
1,1,8000,660,60,educational,5.56%,CA,RENT,2500,660-664,5,5770,2,6 years
1,1,31075,660,36,credit_card,26.18%,MA,OWN,6000,660-664,20,27221,2,10+ years
1,1,9750,660,36,other,10.55%,WA,RENT,3033.33,660-664,13,8688,1,4 years
1,1,18000,660,60,house,1.92%,FL,RENT,4583.33,660-664,6,4243,3,7 years
1,1,14000,660,36,credit_card,31.02%,IL,MORTGAGE,5000,660-664,15,12728,3,7 years
1,1,10850,660,36,debt_consolidation,33.90%,PA,OWN,2708.33,660-664,7,9577,0,8 years
1,1,8000,660,36,debt_consolidation,2.83%,NY,RENT,3333.33,660-664,4,2832,0,n/a
1,1,12000,660,36,credit_card,19.61%,KS,MORTGAGE,4583.33,660-664,8,8970,0,10+ years
1,1,20500,660,60,debt_consolidation,24.85%,CA,RENT,4333.33,660-664,13,4699,0,5 years
1,1,6625,660,36,debt_consolidation,11.68%,CA,RENT,10268.25,660-664,9,3563,0,2 years
1,1,5500,660,36,home_improvement,2.33%,GA,OWN,7500,660-664,3,2530,1,7 years
1,1,8000,660,36,credit_card,20.99%,TX,RENT,3750,660-664,6,4010,0,5 years
1,1,6000,660,36,debt_consolidation,24.85%,CA,MORTGAGE,3264,660-664,13,6347,1,10+ years
1,1,10000,660,36,debt_consolidation,18.55%,CA,RENT,2916.67,660-664,9,7565,3,4 years
1,1,10000,660,36,debt_consolidation,5.82%,LA,RENT,8750,660-664,14,11394,0,3 years
1,1,13100,660,36,debt_consolidation,23.24%,NY,RENT,7968.75,660-664,19,19607,1,10+ years
